Mon 11 Jan 2016	5.0	* irrigation * paint and fix missing dividers, art room cabinet * patch mdf B-block common area * began top coat H-block seating							5.0						
Tue 12 Jan 2016	5.0	* irrigation * complete painting H-block seating and sweep * mount tool rack in cage * clean C-block boys extracter fan * start clean of A-block gutters							5.0						
Wed 13 Jan 2016	5.0	* irrigation - rerun cable that had been incorrectly mounted * A-block (computer room) exit door: remove, dismantle, glue, clamp, re-putty, rehang and ease * clean furnace fire and box							5.0						
Thu 14 Jan 2016	5.0	* irrigation * clean canteen wall * paint seating near canteen * complete wirebrush and galv paint H-block rails * complete clearing gutters A-block/admin buildings							5.0						
Fri 15 Jan 2016	5.0	* clean window (putty) * clean walls and ceiling C-block boys toilet * push mowing							5.0	25.0	0.0	0.0	0.0	25.0	
Mon 18 Jan 2016	5.0	* irrigation * measure, buy and install clearlight A-block common area * clean high windows A+B-block common * indentify broken clearlight B-block							5.0						
Tue 19 Jan 2016	3.0	* irrigation - relocate * measure, buy and install clearlight B-block common area					2.0	* begin dismantle John's wall	5.0						
Wed 20 Jan 2016							5.0	* John's wall	5.0						
Thu 21 Jan 2016							5.0	* John's wall	5.0						
Fri 22 Jan 2016			2.0	* tractor mowing training with Kev			3.0	* John's wall plus 2 hours extra to finish	5.0	8.0	2.0	0.0	15.0	25.0	
Mon 25 Jan 2016		sick							0.0						
Tue 26 Jan 2016	1.0	* move irrigation					4.0	* John's wall -  finish details and put up shelves, move cabinet etc.	5.0						
Wed 27 Jan 2016	5.0	* irrigation * repair house bleachers (reattached forms) * mount tool rack for agricultural class (French)							5.0						
Thu 28 Jan 2016	5.0	* irrigation * repair gym stage struts * complete repair house bleachers * rubbish							5.0						
Fri 29 Jan 2016	4.0	* irrigation * batten H-block and prime timber * repair door lock			1.0	* weed H-block garden beds			5.0	15.0	0.0	1.0	4.0	20.0	
Mon 1 Feb 2016	5.0	* clean entrance way to languages * irrigation * curtain rails for Brooke							5.0						
Tue 2 Feb 2016	5.0	* C-block roof: make patch repair (over home economics), clean gutters and downpipes * irrigation * shelves for Brooke * dismantle old, broken picnic table							5.0						
Wed 3 Feb 2016	2.5	* repair and strengthen tables in B-block common area (internal) * tidy around caretaker area (1/2 hr)	2.5	* mow main field					5.0						
Thu 4 Feb 2016		sick													
Fri 5 Feb 2016		sick								12.5	2.5	0.0	0.0	15.0	
Mon 8 Feb 2016		public holiday													
Tue 9 Feb 2016	3.0	* irrigation * shelving SCR * patch broken window (French) * paint cabinet room 13	3.0	* mowing					6.0						
Wed 10 Feb 2016	6.0	* weed spray front, tennis courts and back field * push mowing * rubbish round * end of day lock up							6.0						
Thu 11 Feb 2016	1.5	* rubbish round * end of day lock up	4.5	* field marking. rugby field					6.0						
Fri 12 Feb 2016	3.0	* weed spray back main field perimeter (incl. container) * rubbish round * end of day lock up	1.0	* line marking	2.0	* weed admin, carpark and anzac roses			6.0	13.5	8.5	2.0	0.0	24.0	
Mon 15 Feb 2016	1.0	* end of day lock up	5.0	* marking, complete rugby fields					6.0						
Tue 16 Feb 2016	6.0	* tennis nets and other with Adrian * jump pits: weed, collect, use and return rotary hoe, collect and add sand * ride-on repair							6.0						
Wed 17 Feb 2016	3.0	* hire trailer and take ride-on for repair * rubbish round * end of day lock up	3.0	* mowing rugby field * marking atheletic					6.0						
Thu 18 Feb 2016	2.5	* common area bins * end of day lock up	2.5	* mowing main field					5.0						Overslept and late 1 hour.
Fri 19 Feb 2016	3.0	* hire trailer and collect ride-on from repair * rubbish round * end of day lock up	3.0	* line marking athletic track (75% complete					6.0	15.5	13.5	0.0	0.0	29.0	
Mon 22 Feb 2016	4.0	* gym shelves *  A-block ? * end of day lock up	1.0	* complete marking atheletic track	1.0	* rake and collect cabbage leaves			6.0						
Tue 23 Feb 2016	2.5	* training with Adrian: walk around and notes made for 'open up' and starting boiler * end of day lock up					3.5	* begin dismantle of wall in enable room	6.0						
Wed 24 Feb 2016	3.5	* irrigation *collect high jump from primary school * rubbish round * end of day lock up	2.5	* mowing					6.0						
Thu 25 Feb 2016	3.0	* sports, bbq * high jump repair * bins * irrigation * common area bins * end of day lock up					3.0	* continue work on wall in enable room	6.0						
Fri 26 Feb 2016	4.0	* irrigation * assist ride-on wheel repair * return high jump to primary school * rubbish round * end of day lock up			1.0	* move/swap camelias from front * some weeding	1.0	* continue work on wall in enable room	6.0	17.0	3.5	2.0	7.5	30.0	
Mon 29 Feb 2016	2.5	* irrigation * move bleaches back top place with tractor * end of day lock up					3.5	* enable room: remove shelves. measure and purchase timber; frame hole	6.0						
Tue 1 Mar 2016	2.0	* irrigation * common area bins * end of day lock up					4.0	* enable room	6.0						
Wed 2 Mar 2016	4.5	* irrigation * maintenance (?) * rubbish round * end of day lock up					1.5	* enable room complete	6.0						
Thu 3 Mar 2016	5.0	* irrigation * toilet latch * light (?) * bleachers and tables off field * clean shelves A & B courtyard walkways * common area bins * end of day lock up			1.0	* planted shrubs in A/B-block common areas			6.0						
Fri 4 Mar 2016	6.0	 							6.0	20.0	0.0	1.0	9.0	30.0	
Mon 7 Mar 2016	5.0	* irrigation * bolt down forms * Melissa pin boards * staffroom water heater * ease door (room 19?) * wet and forget court 2 * end of day lock up			1.0	* hoe front entrance by admin * hoe other beds *  trim ivy near front library			6.0						
Tue 8 Mar 2016	4.5	* irrigation * clean drinking troughs * detail in enable room * evacuation signs in tennis courts * gym female toilet sign * common area bins * end of day lock up			1.5	* H-block beds * remove dead bush from front (staffroom)			6.0						
Wed 9 Mar 2016	3.5	* irrigation * rubbish round	2.5	* mowing main field					6.0						
Thu 10 Mar 2016	3.0	* irrigation * put up shelves in cage * common area bins * end of day lock up			3.0	* tidy 60% down back driveway (trim and skirt hedges, rack and clear debris)			6.0						
Fri 11 Mar 2016	3.5	* irrigation * push mowing * rubbish round * end of day lock up	2.5	* mowing main field					6.0	19.5	5.0	5.5	0.0	30.0	
Mon 14 Mar 2016	6.0	*  irrigation * collect, prep and paint yellow bleacher * cut and prime tennis referee seats * strap forms to garden (doh!) * end of day lock up							6.0						
Tue 15 Mar 2016	5.0	* irrigation * clear over flowing gutter (oh, something off my own bat!) * paint referee forms * tidy in boiler * common area bins * end of day lock up			1.0	* plant 3 of the "paper" trees. 2 akeake near staffroom and a kowhai outside admin			6.0						
Wed 16 Mar 2016	2.5	* irrigation * rubbish round * end of day lock up			3.5	* prune shrubs at room 13 and clear path (4 woolsacks)			6.0						
Thu 17 Mar 2016	6.0	* irrigation * hang fire blankets: staffroom, canteen * hang 10km signs x 2 * replace broken toilet seat, Wilson room * clear leaves (sycamore) from A-block common area north and admin walkway * investigate and trial fix for roof leaks B-block SW corner * common area bins * end of day lock up							6.0						
Fri 18 Mar 2016	5.0	* irrigation * lay carpet for Liz * install sign on block wall at gate * wet and forget along French's building * sweep and tidy near French * third coat yellow bleacher * rubbish round * end of day lock up			1.0	* trim and tidy grasses at room 18			6.0	24.5	0.0	5.5	0.0	30.0	
Mon 21 Mar 2016	6.0	* pack up irrigation for season * 4th coat paint yellow bleacher * use tractor to swap yellow for green bleacher * scrub and first coat green * round-up cottage field entry and main field perimeter * wet&dry A block south (old computer room to canteen) * begin removal of sand, gravel and dirt from tennis court perimeter culvert (a wheelbarrow at time) * end of day lock up							6.0						
Tue 22 Mar 2016	3.5	* investigate source of rotting flesh odour in B-block east * 2nd and final coat green bleacher * swap out for red bleacher with tractor * rubbish round (doh, not Wednesday) * prep and deliver 2 bbq for Whanau Hui * end of day lock up - Adrian assisted because running late			2.5	* clear, prune, weed, and mulch B-block east raised garden (no dead animal)			6.0						
Wed 23 Mar 2016	6.0	* underfloor adventure to locate rotting carcase, hedgehog located and removed * discuss options for doors/shutters gym storage * repair gym pinboard * remove/grind extra height volleyball post stirrup * rehang gym toilet paper towel holder * check measurement on roof for broken skylights * scrub and 1st coat red bleacher * load garden waste to skip * another wheelbarrow from tennis courts culvert * 2nd coat red bleacher * collect clothes racks for drama from Leeston (with Adrian) * end of day lock up							6.0						
Thu 24 Mar 2016	6.0	*  inspect/test/check all fire hoses * locate and map all existing fire extinguishers * replace light in gym stage fire exit * repair reveal/architrave under mezzanine in gym * move all large items from drama storage to mezzanine in music rehearsal * rubbish round * end of day lock up							6.0						
Fri 25 Mar 2016		public holiday								21.5	0.0	2.5	0.0	24.0	
Mon 28 Mar 2016		public holiday													
Tue 29 Mar 2016		holiday													
Wed 30 Mar 2016	2.0	* swap bleachers * clean and prep blue bleacher for painting * end of day lock up	4.0	* mowed main field and half rugby field					6.0						
Thu 31 Mar 2016	3.5	* spot prime and first coat blue bleacher * mount pin boards for Liz * second coat blue bleacher * move drama cupboards with Adrian * common area bins * end of day lock up	1.0	* complete mow of rugby field	1.5	* trim hedge outside Donna's office * rake up cabbage leaves outside woodwork			6.0						
Fri 1 Apr 2016	6.0	* tow blue bleacher back to gym * cut down drama cupboards and reinstate * remove window stay from PTA kitchen for replacement * push mow areas and tidy staffroom garden * clean fountains * rubbish round * end of day lock up							6.0	11.5	5.0	1.5	0.0	18.0	
Mon 4 Apr 2016	6.0	* Hammer Hardware for bolts * deliver vacumn to Nairns for repair * assemble basketball hoops and backboards * replace window stay in PTA kitchen * wedge wobbling concrete slab outside woodwork * 1hr clearing north tennis court perimeter * 1hr wet and forget tennis court * end of day lock up							6.0						
